cpt_hcpcs_code,long_desc,short_desc,betos_code,betos_code_desc
A1,Dressing for one wound,Dressing for one wound,,
A2,Dressing for two wounds,Dressing for two wounds,,
A3,Dressing for three wounds,Dressing for three wounds,,
A4,Dressing for four wounds,Dressing for four wounds,,
A5,Dressing for five wounds,Dressing for five wounds,,
A6,Dressing for six wounds,Dressing for six wounds,,
A7,Dressing for seven wounds,Dressing for seven wounds,,
A8,Dressing for eight wounds,Dressing for eight wounds,,
A9,Dressing for nine or more wounds,Dressing for 9 or more wound,,
AA,Anesthesia services performed personally by anesthesiologist,Anesthesia perf by anesgst,,
AD,Medical supervision by a physician: more than four concurrent anesthesia procedures,"Md supervision, >4 anes proc",,
AE,Registered dietician,Registered dietician,,
AF,Specialty physician,Specialty physician,,
AG,Primary physician,Primary physician,,
AH,Clinical psychologist,Clinical psychologist,,
AI,Principal physician of record,Principal physician of rec,,
AJ,Clinical social worker,Clinical social worker,,
AK,Non participating physician,Non participating physician,,
AM,"Physician, team member service","Physician, team member svc",,
AO,Alternate payment method declined by provider of service,Prov declined alt pmt method,,
AP,Determination of refractive state was not performed in the course of diagnostic ophthalmological examination,No dtmn of refractive state,,
AQ,Physician providing a service in an unlisted health professional shortage area (hpsa),Physician service hpsa area,,
AR,Physician provider services in a physician scarcity area,Physician scarcity area,,
AS,"Physician assistant, nurse practitioner, or clinical nurse specialist services for assistant at surgery",Assistant at surgery service,,
AT,"Acute treatment (this modifier should be used when reporting service 98940, 98941, 98942)",Acute treatment,,
AU,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply","Uro, ostomy or trach item",,
AV,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic",Item w prosthetic/orthotic,,
AW,Item furnished in conjunction with a surgical dressing,Item w a surgical dressing,,
AX,Item furnished in conjunction with dialysis services,Item w dialysis services,,
AY,Item or service furnished to an esrd patient that is not for the treatment of esrd,Item/service not for esrd tx,,
AZ,Physician providing a service in a dental health professional shortage area for the purpose of an electronic health record incentive payment,Physician serv in dent hpsa,,
BA,Item furnished in conjunction with parenteral enteral nutrition (pen) services,Item w pen services,,
BL,Special acquisition of blood and blood products,Spec acquisition blood prods,,
BO,"Orally administered nutrition, not by feeding tube",Nutrition oral admin no tube,,
BP,The beneficiary has been informed of the purchase and rental options and has elected to purchase the item,Bene electd to purchase item,,
BR,The beneficiary has been informed of the purchase and rental options and has elected to rent the item,Bene elected to rent item,,
BU,The beneficiary has been informed of the purchase and rental options and after 30 days has not informed the supplier of his/her decision,Bene undecided on purch/rent,,
CA,Procedure payable only in the inpatient setting when performed emergently on an outpatient who expires prior to admission,Procedure payable inpatient,,
CB,"Service ordered by a renal dialysis facility (rdf) physician as part of the esrd beneficiary's dialysis benefit, is not part of the composite rate, and is separately reimbursable",Esrd bene part a snf-sep pay,,
CC,Procedure code change (use 'cc' when the procedure code submitted was changed either for administrative reasons or because an incorrect code was filed),Procedure code change,,
CD,Amcc test has been ordered by an esrd facility or mcp physician that is part of the composite rate and is not separately billable,Amcc test for esrd or mcp md,,
CE,Amcc test has been ordered by an esrd facility or mcp physician that is a composite rate test but is beyond the normal frequency covered under the rate and is separately reimbursable based on medical necessity,Med neces amcc tst sep reimb,,
CF,Amcc test has been ordered by an esrd facility or mcp physician that is not part of the composite rate and is separately billable,Amcc tst not composite rate,,
CG,Policy criteria applied,Policy criteria applied,,
CH,"0 percent impaired, limited or restricted","0 percent impaired, ltd, res",,
CI,"At least 1 percent but less than 20 percent impaired, limited or restricted",1 to <20 percent impaired,,
CJ,"At least 20 percent but less than 40 percent impaired, limited or restricted",20 to <40 percent impaired,,
CK,"At least 40 percent but less than 60 percent impaired, limited or restricted",40 to <60 percent impaired,,
CL,"At least 60 percent but less than 80 percent impaired, limited or restricted",60 to <80 percent impaired,,
CM,"At least 80 percent but less than 100 percent impaired, limited or restricted",80 to <100 percent impaired,,
CN,"100 percent impaired, limited or restricted","100 percent impaired, ltd",,
CO,Outpatient occupational therapy services furnished in whole or in part by an occupational therapy assistant,Outpatient ot service by ota,,
CP,"Adjunctive service related to a procedure assigned to a comprehensive ambulatory payment classification (c-apc) procedure, but reported on a different claim",C-apc adjunctive service,,
CQ,Outpatient physical therapy services furnished in whole or in part by a physical therapist assistant,Outpatient pt service by pta,,
CR,Catastrophe/disaster related,Catastrophe/disaster related,,
CS,"Item or service related, in whole or in part, to an illness, injury, or condition that was caused by or exacerbated by the effects, direct or indirect, of the 2010 oil spill in the gulf of mexico, including but not limited to subsequent clean-up activities",Gulf oil 2010 spill related,,
CT,Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (nema) xr-29-2013 standard,Ct does not meet nema standa,,
DA,Oral health assessment by a licensed health professional other than a dentist,"Oral health assess, not dent",,
E1,"Upper left, eyelid",Upper left eyelid,,
E2,"Lower left, eyelid",Lower left eyelid,,
E3,"Upper right, eyelid",Upper right eyelid,,
E4,"Lower right, eyelid",Lower right eyelid,,
EA,Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer chemotherapy,"Esa, anemia, chemo-induced",,
EB,Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer radiotherapy,"Esa, anemia, radio-induced",,
EC,Erythropoetic stimulating agent (esa) administered to treat anemia not due to anti-cancer radiotherapy or anti-cancer chemotherapy,"Esa, anemia, non-chemo/radio",,
ED,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,Hct>39% or hgb>13g>=3 cycle,,
EE,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,Hct>39% or hgb>13g<3 cycle,,
EJ,"Subsequent claims for a defined course of therapy, e.g., epo, sodium hyaluronate, infliximab",Subsequent claim,,
EM,Emergency reserve supply (for esrd benefit only),Emer reserve supply (esrd),,
EP,Service provided as part of medicaid early periodic screening diagnosis and treatment (epsdt) program,Medicaid epsdt program svc,,
ER,"Items and services furnished by a provider-based, off-campus emergency department",Off-campus ed service,,
ET,Emergency services,Emergency services,,
EX,Expatriate beneficiary,Expatriate beneficiary,,
EY,No physician or other licensed health care provider order for this item or service,No md order for item/service,,
F1,"Left hand, second digit","Left hand, second digit",,
F2,"Left hand, third digit","Left hand, third digit",,
F3,"Left hand, fourth digit","Left hand, fourth digit",,
F4,"Left hand, fifth digit","Left hand, fifth digit",,
F5,"Right hand, thumb","Right hand, thumb",,
F6,"Right hand, second digit","Right hand, second digit",,
F7,"Right hand, third digit","Right hand, third digit",,
F8,"Right hand, fourth digit","Right hand, fourth digit",,
F9,"Right hand, fifth digit","Right hand, fifth digit",,
FA,"Left hand, thumb","Left hand, thumb",,
FB,"Item provided without cost to provider, supplier or practitioner, or full credit received for replaced device (examples, but not limited to, covered under warranty, replaced due to defect, free samples)",Item provided without cost,,
FC,Partial credit received for replaced device,"Part credit, replaced device",,
FP,Service provided as part of family planning program,Svc part of family plan pgm,,
FX,X-ray taken using film,X-ray taken using film,,
FY,X-ray taken using computed radiography technology/cassette-based imaging,Computed radiography x-ray,,
G0,"Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an acute stroke",Telestroke,,
G1,Most recent urr reading of less than 60,Urr reading of less than 60,,
G2,Most recent urr reading of 60 to 64.9,Urr reading of 60 to 64.9,,
G3,Most recent urr reading of 65 to 69.9,Urr  reading of 65 to 69.9,,
G4,Most recent urr reading of 70 to 74.9,Urr reading of 70 to 74.9,,
G5,Most recent urr reading of 75 or greater,Urr reading of 75 or greater,,
G6,Esrd patient for whom less than six dialysis sessions have been provided in a month,Esrd patient <6 dialysis/mth,,
G7,Pregnancy resulted from rape or incest or pregnancy certified by physician as life threatening,Payment limits do not apply,,
G8,"Monitored anesthesia care (mac) for deep complex, complicated, or markedly invasive surgical procedure",Monitored anesthesia care,,
G9,Monitored anesthesia care for patient who has history of severe cardio-pulmonary condition,Mac for at risk patient,,
GA,"Waiver of liability statement issued as required by payer policy, individual case",Liability waiver ind case,,
GB,Claim being re-submitted for payment because it is no longer covered under a global payment demonstration,Claim resubmitted,,
GC,This service has been performed in part by a resident under the direction of a teaching physician,Resident/teaching phys serv,,
GD,Units of service exceeds medically unlikely edit value and represents reasonable and necessary services,Unit of service > mue value,,
GE,This service has been performed by a resident without the presence of a teaching physician under the primary care exception,Resident prim care exception,,
GF,"Non-physician (e.g. nurse practitioner (np), certified registered nurse anesthetist (crna), certified registered nurse (crn), clinical nurse specialist (cns), physician assistant (pa)) services in a critical access hospital",Nonphysician serv c a hosp,,
GG,"Performance and payment of a screening mammogram and diagnostic mammogram on the same patient, same day",Payment screen mam + diagmam,,
GH,Diagnostic mammogram converted from screening mammogram on same day,Diag mammo to screening mamo,,
GJ,"""opt out"" physician or practitioner emergency or urgent service",Opt out provider of er srvc,,
GK,Reasonable and necessary item/service associated with a ga or gz modifier,Actual item/service ordered,,
GL,"Medically unnecessary upgrade provided instead of non-upgraded item, no charge, no advance beneficiary notice (abn)","Upgraded item, no charge",,
GM,Multiple patients on one ambulance trip,Multiple transports,,
GN,Services delivered under an outpatient speech language pathology plan of care,Op speech language service,,
GO,Services delivered under an outpatient occupational therapy plan of care,Op occupational therapy serv,,
GP,Services delivered under an outpatient physical therapy plan of care,Op pt services,,
GQ,Via asynchronous telecommunications system,Telehealth store and forward,,
GR,"This service was performed in whole or in part by a resident in a department of veterans affairs medical center or clinic, supervised in accordance with va policy",Service by va resident,,
GS,Dosage of erythropoietin stimulating agent has been reduced and maintained in response to hematocrit or hemoglobin level,Epo/darbepoietin reduced 25%,,
GT,Via interactive audio and video telecommunication systems,Interactivetelecommunication,,
GU,"Waiver of liability statement issued as required by payer policy, routine notice",Liability waiver rout notice,,
GV,Attending physician not employed or paid under arrangement by the patient's hospice provider,Attending phys not hospice,,
GW,Service not related to the hospice patient's terminal condition,Service unrelated to term co,,
GX,"Notice of liability issued, voluntary under payer policy",Voluntary liability notice,,
GY,"Item or service statutorily excluded, does not meet the definition of any medicare benefit or, for non-medicare insurers, is not a contract benefit",Statutorily excluded,,
GZ,Item or service expected to be denied as not reasonable and necessary,Not reasonable and necessary,,
H9,Court-ordered,Court-ordered,,
HA,Child/adolescent program,Child/adolescent program,,
HB,"Adult program, non geriatric",Adult program non-geriatric,,
HC,"Adult program, geriatric",Adult program geriatric,,
HD,Pregnant/parenting women's program,Pregnant/parenting program,,
HE,Mental health program,Mental health program,,
HF,Substance abuse program,Substance abuse program,,
HG,Opioid addiction treatment program,Opioid addiction tx program,,
HH,Integrated mental health/substance abuse program,Mental hlth/substance abs pr,,
HI,Integrated mental health and intellectual disability/developmental disabilities program,Men hlth intel/dev disab pgm,,
HJ,Employee assistance program,Employee assistance program,,
HK,Specialized mental health programs for high-risk populations,Spec hgh rsk mntl hlth pop p,,
HL,Intern,Intern,,
HM,Less than bachelor degree level,Less than bachelor degree lv,,
HN,Bachelors degree level,Bachelors degree level,,
HO,Masters degree level,Masters degree level,,
HP,Doctoral level,Doctoral level,,
HQ,Group setting,Group setting,,
HR,Family/couple with client present,Family/couple w client prsnt,,
HS,Family/couple without client present,Family/couple w/o client prs,,
HT,Multi-disciplinary team,Multi-disciplinary team,,
HU,Funded by child welfare agency,Child welfare agency funded,,
HV,Funded state addictions agency,Funded state addiction agncy,,
HW,Funded by state mental health agency,State mntl hlth agncy funded,,
HX,Funded by county/local agency,County/local agency funded,,
HY,Funded by juvenile justice agency,Funded by juvenile justice,,
HZ,Funded by criminal justice agency,Criminal justice agncy fund,,
J1,Competitive acquisition program no-pay submission for a prescription number,Cap no-pay for prescript num,,
J2,"Competitive acquisition program, restocking of emergency drugs after emergency administration",Cap restock of emerg drugs,,
J3,"Competitive acquisition program (cap), drug not available through cap as written, reimbursed under average sales price methodology",Cap drug unavail thru cap,,
J4,Dmepos item subject to dmepos competitive bidding program that is furnished by a hospital upon discharge,Dmepos comp bid furn by hosp,,
JA,Administered intravenously,Administered intravenously,,
JB,Administered subcutaneously,Administered subcutaneously,,
JC,Skin substitute used as a graft,Skin substitute graft,,
JD,Skin substitute not used as a graft,Skin sub not used as a graft,,
JE,Administered via dialysate,Administered via dialysate,,
JF,Compounded drug,Compounded drug,,
JG,Drug or biological acquired with 340b drug pricing program discount,340b acquired drug,,
JW,Drug amount discarded/not administered to any patient,Discarded drug not administe,,
K0,Lower extremity prosthesis functional level 0 - does not have the ability or potential to ambulate or transfer safely with or without assistance and a prosthesis does not enhance their quality of life or mobility.,Lwr ext prost functnl lvl 0,,
K1,Lower extremity prosthesis functional level 1 - has the ability or potential to use a prosthesis for transfers or ambulation on level surfaces at fixed cadence. typical of the limited and unlimited household ambulator.,Lwr ext prost functnl lvl 1,,
K2,"Lower extremity prosthesis functional level 2 - has the ability or potential for ambulation with the ability to traverse low level environmental barriers such as curbs, stairs or uneven surfaces.  typical of the limited community ambulator.",Lwr ext prost functnl lvl 2,,
K3,"Lower extremity prosthesis functional level 3 - has the ability or potential for ambulation with variable cadence.  typical of the community ambulator who has the ability to transverse most environmental barriers and may have vocational, therapeutic, or exercise activity that demands prosthetic utilization beyond simple locomotion.",Lwr ext prost functnl lvl 3,,
K4,"Lower extremity prosthesis functional level 4 - has the ability or potential for prosthetic ambulation that exceeds the basic ambulation skills, exhibiting high impact, stress, or energy levels, typical of the prosthetic demands of the child, active adult, or athlete.",Lwr ext prost functnl lvl 4,,
KA,Add on option/accessory for wheelchair,Wheelchair add-on option/acc,,
KB,"Beneficiary requested upgrade for abn, more than 4 modifiers identified on claim",>4 modifiers on claim,,
KC,Replacement of special power wheelchair interface,Repl special pwr wc intrface,,
KD,Drug or biological infused through dme,Drug/biological dme infused,,
KE,Bid under round one of the dmepos competitive bidding program for use with non-competitive bid base equipment,Bid under round 1 dmepos cb,,
KF,Item designated by fda as class iii device,Fda class iii device,,
KG,Dmepos item subject to dmepos competitive bidding program number 1,Dmepos comp bid prgm no 1,,
KH,"Dmepos item, initial claim, purchase or first month rental","Dmepos ini clm, pur/1 mo rnt",,
KI,"Dmepos item, second or third month rental",Dmepos 2nd or 3rd mo rental,,
KJ,"Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months four to fifteen",Dmepos pen pmp or 4-15mo rnt,,
KK,Dmepos item subject to dmepos competitive bidding program number 2,Dmepos comp bid prgm no 2,,
KL,Dmepos item delivered via mail,Dmepos mailorder comp bid,,
KM,Replacement of facial prosthesis including new impression/moulage,Rplc facial prosth new imp,,
KN,Replacement of facial prosthesis using previous master model,Rplc facial prosth old mod,,
KO,Single drug unit dose formulation,Single drug unit dose form,,
KP,First drug of a multiple drug unit dose formulation,First drug of multi drug u d,,
KQ,Second or subsequent drug of a multiple drug unit dose formulation,2nd/subsqnt drg multi drg ud,,
KR,"Rental item, billing for partial month",Rental item partial month,,
KS,Glucose monitor supply for diabetic beneficiary not treated with insulin,Glucose monitor supply,,
KT,Beneficiary resides in a competitive bidding area and travels outside that competitive bidding area and receives a competitive bid item,Item from noncontract supply,,
KU,Dmepos item subject to dmepos competitive bidding program number 3,Dmepos comp bid prgm no 3,,
